2016-04-26 05:23:03.897, data, Event,R#0005,R#0005,R#0101
2016-04-26 05:23:04.161, data, Event,R#0005,R#0005,R#0102
2016-04-26 05:23:04.443, data, Event,R#0005,R#0005,R#0103
2016-04-26 05:23:05.251, data, Event,R#0005,R#0005,R#0104
2016-04-26 05:23:05.533, data, Event,R#0005,R#0005,R#0105
2016-04-26 05:23:05.871, data, Event,R#0005,R#0005,R#0106
2016-04-26 05:23:06.253, data, Event,R#0005,R#0005,R#0107
2016-04-26 05:23:06.868, data, Event,R#0005,R#0005,R#0108
2016-04-26 05:23:08.160, data, Event,R#0005,R#0005,R#0109
2016-04-26 05:23:11.036, data, Event,R#0005,R#0005,R#0110
2016-04-26 05:23:12.146, data, Event,R#0005,R#0005,R#0111
2016-04-26 05:23:12.886, data, Event,R#0005,R#0005,R#0112
2016-04-26 05:23:13.524, data, Event,R#0005,R#0005,R#0113
2016-04-26 05:23:14.698, data, Event,R#0005,R#0005,R#0114
2016-04-26 05:23:15.168, data, Event,R#0005,R#0005,R#0115
2016-04-26 05:23:15.363, data, Event,R#0005,R#0005,R#0116
2016-04-26 05:23:15.786, data, Event,R#0005,R#0005,R#0117
2016-04-26 05:23:16.760, data, Event,R#0005,R#0005,R#0118
2016-04-26 05:23:17.200, data, Event,R#0005,R#0005,R#0119
2016-04-26 05:23:17.957, data, Event,R#0005,R#0005,R#0120
2016-04-26 05:23:18.021, data, Event,R#0005,R#0005,R#0121
2016-04-26 05:23:18.513, data, Event,R#0005,R#0005,R#0122
2016-04-26 05:23:19.827, data, Event,R#0005,R#0005,R#0123
2016-04-26 05:23:21.176, data, Event,R#0005,R#0005,R#0124
2016-04-26 05:23:23.558, data, Event,R#0005,R#0005,R#0125
2016-04-26 05:23:24.354, data, Event,R#0005,R#0089,R#0126
2016-04-26 05:23:25.397, data, Event,R#0005,R#0089,R#0127
2016-04-26 05:23:27.657, data, Event,R#0005,R#0098,R#0128
2016-04-26 05:23:28.482, data, Event,R#0005,R#0098,R#0129
2016-04-26 05:23:28.635, data, Event,R#0005,R#0098,R#0130
2016-04-26 05:23:29.889, data, Event,R#0005,R#0098,R#0131
2016-04-26 05:23:29.981, data, Event,R#0005,R#0098,R#0132
2016-04-26 05:23:33.067, data, Event,R#0005,R#0098,R#0133
2016-04-26 05:23:33.268, data, Event,R#0005,R#0098,R#0134
2016-04-26 05:23:33.772, data, Event,R#0005,R#0098,R#0135
2016-04-26 05:23:34.051, data, Event,R#0005,R#0098,R#0136
2016-04-26 05:23:34.272, data, Event,R#0005,R#0098,R#0137
2016-04-26 05:23:35.527, data, Event,R#0005,R#0098,R#0138
