2016-06-06 21:41:41.000 procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
2016-06-06 21:41:41.000  r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
2016-06-06 21:41:41.000  4  0      0   8792    629   2584    0    0     0     1    1    1  1  0 99  0  0
2016-06-06 21:41:42.000  2  0      0   8744    628   2633    0    0     0     0 1153 22221 28  5 67  0  0
2016-06-06 21:41:43.000 227  0      0   8698    628   2677    0    0     0     0 1225 27549 31  4 65  0  0
2016-06-06 21:41:44.000  1  0      0   8630    628   2747    0    0     0  1500 1229 24533 33  5 63  0  0
2016-06-06 21:41:45.000  2  0      0   8608    628   2769    0    0     0     0 1180 18751  7  3 90  0  0
2016-06-06 21:41:46.000 12  0      0   8406    628   2971    0    0     0     0 1152 38759 77  7 16  0  0
2016-06-06 21:41:47.000  5  0      0   8109    628   3267    0    0     0     0 1215 51072 69 12 20  0  0
2016-06-06 21:41:48.000  7  0      0   7860    628   3516    0    0     0     0 1145 37925 50 12 38  0  0
2016-06-06 21:41:49.000  5  0      0   7693    628   3684    0    0     0   156 1186 41284 48 13 39  0  0
2016-06-06 21:41:50.000  6  0      0   7738    628   3638    0    0     0     0 1078 32871 44 12 44  0  0
2016-06-06 21:41:51.000  6  0      0   7600    628   3776    0    0     0     0 1175 34977 57 11 32  0  0
2016-06-06 21:41:52.000  5  0      0   7558    628   3817    0    0     0     0 1089 39673 57 11 32  0  0
2016-06-06 21:41:53.000  8  0      0   7561    628   3814    0    0     0     0 1173 40204 54 12 34  0  0
2016-06-06 21:41:54.000  7  0      0   7536    628   3840    0    0     0   112 1081 32608 48 10 42  0  0
2016-06-06 21:41:55.000  6  0      0   7645    628   3730    0    0     0     0 1196 38596 53 11 36  0  0
2016-06-06 21:41:56.000  7  0      0   7643    628   3732    0    0     0  1188 1267 38465 40 13 47  0  0
2016-06-06 21:41:57.000  3  0      0   7641    628   3733    0    0     0     0 1193 40212 39 13 49  0  0
2016-06-06 21:41:58.000  6  0      0   7585    628   3792    0    0     0     0 1093 37309 47 12 42  0  0
