"TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009","R#010","R#011","R#012","R#013","R#014","R#015","R#016","R#017","R#018","R#019","R#020","R#021","R#022","R#023","R#024","R#025","R#026","R#027","R#028","R#029","R#030","R#031","R#032","R#033","R#034","R#035","R#036","R#037","R#038","R#039","R#040","R#041","R#042","R#043","R#044","R#045","R#046","R#047","R#048","R#049","R#050","R#051","R#052","R#053","R#054","R#055","R#056","R#057","R#058","R#059","R#060","R#061","R#062","R#063","R#064","R#065","R#066","R#067","R#068","R#069","R#070","R#071","R#072","R#073","R#074","R#075","R#076","R#077","R#078","R#079","R#080","R#081","R#082","R#083","R#084","R#085","R#086","R#087","R#088","R#089","R#090","R#091","R#092","R#093","R#094","R#095","R#096","R#097","R#098","R#099","R#100","R#101","R#102","R#103","R#104","R#105","R#106","R#107","R#108","R#109","R#110","R#111","R#112","R#113","R#114","R#115","R#116","R#117","R#118","R#119","R#120","R#121","R#122","R#123","R#124","R#125","R#126","R#127","R#128","R#129","R#130","R#131","R#132","R#133","R#134","R#135","R#136","R#137","R#138","R#139","R#140","R#141","R#142","R#143","R#144","R#145","R#146","R#147","R#148","R#149","R#150","R#151","R#152","R#153","R#154","R#155","R#156","R#157","R#158","R#159","R#160","R#161","R#162","R#163","R#164","R#165","R#166","R#167","R#168","R#169","R#170","Total","Z#TEST","Z#GTEST"
"10","20","866","13695","75050","128555","150703","59355","8198","466","5","0","0","0","0","0","0","0","0","0","0","49876","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","486789","0","505000"
"11","20","986","15376","84697","183162","127861","64014","9391","545","5","0","0","0","0","0","0","0","0","0","0","0","49891","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","535948","0","505000"
"12","20","740","12297","72965","125950","158147","54629","7474","505","5","0","0","0","0","0","0","0","0","0","0","0","0","49834","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","482566","0","505000"
"13","20","863","14004","78822","130316","160425","59922","8473","501","5","0","0","0","0","0","0","0","0","0","0","0","0","0","49900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","503251","0","505000"
"14","21","865","12994","83317","128489","125446","58111","9073","506","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49900","49824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","518551","0","505000"
"15","21","867","13688","74194","128905","156754","59113","7781","485","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49868","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","491681","0","505000"
"16","20","866","13791","78951","129306","163922","59463","8457","524","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49887","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","505192","0","505000"
"17","20","869","13895","79742","129888","132630","59420","8561","506","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49899","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475435","0","505000"
"18","18","792","13489","77932","139438","135982","59061","8478","472","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","485567","0","505000"
"19","22","938","13712","78696","169727","123030","59460","8385","539","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49800","49816","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","554130","0","505000"
