"TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009"
"2016-08-12 06:43:13.032","1","1","1","1","84","33","1","1","1","1"
"2016-08-12 06:43:14.053","1","1","1","1","85","34","1","1","1","1"
"2016-08-12 06:43:15.029","1","1","1","1","86","34","1","1","1","1"
"2016-08-12 06:43:16.061","1","1","1","1","87","35","1","1","1","1"
"2016-08-12 06:43:17.042","1","1","1","1","88","35","1","1","1","1"
"2016-08-12 06:43:18.034","1","1","1","1","89","36","1","1","1","1"
"2016-08-12 06:43:19.043","1","1","1","1","90","36","1","1","1","1"
"2016-08-12 06:43:20.028","1","1","1","1","91","37","1","1","1","1"
"2016-08-12 06:43:21.030","1","1","1","1","92","38","1","1","1","1"
"2016-08-12 06:43:22.033","1","1","1","1","93","38","1","1","1","1"
"2016-08-12 06:43:23.037","1","1","1","1","94","39","1","1","1","1"
"2016-08-12 06:43:24.061","1","1","1","1","95","39","1","1","1","1"
"2016-08-12 06:43:25.071","1","1","1","1","96","40","1","1","1","1"
"2016-08-12 06:43:26.062","1","1","1","1","97","40","1","1","1","1"
"2016-08-12 06:43:27.055","1","1","1","1","98","40","1","1","1","1"
"2016-08-12 06:43:28.025","1","1","1","1","98","40","1","1","1","1"
