"F#TIME","AGENT","FROM","TO"
"2016-08-31 18:59:15.500","133","(R#005->R#005),(R#004->R#004)","R#133,R#134"
"2016-08-31 18:59:16.500","135","(R#004->R#004),(R#005->R#005)","R#135,R#136"
"2016-08-31 18:59:17.486","137","(R#004->R#004),(R#005->R#005)","R#137,R#138"
"2016-08-31 18:59:18.493","139","(R#004->R#004),(R#005->R#005)","R#139,R#140"
"2016-08-31 18:59:19.491","141","(R#004->R#004),(R#005->R#005)","R#141,R#142"
"2016-08-31 18:59:20.497","143","(R#004->R#004),(R#005->R#005)","R#143,R#144"
"2016-08-31 18:59:21.485","145","(R#004->R#004)","R#145"
"2016-08-31 18:59:22.494","146","(R#005->R#005),(R#004->R#004)","R#146,R#147"
"2016-08-31 18:59:23.484","148","(R#004->R#004),(R#005->R#005)","R#148,R#149"
"2016-08-31 18:59:24.491","150","(R#004->R#004),(R#005->R#005)","R#150,R#151"
"2016-08-31 18:59:25.485","152","(R#004->R#004)","R#152"
"2016-08-31 18:59:26.485","153","(R#004->R#004),(R#005->R#005)","R#153,R#154"
"2016-08-31 18:59:27.489","155","(R#004->R#004),(R#005->R#005)","R#155,R#156"
"2016-08-31 18:59:28.490","157","(R#004->R#004)","R#157"
"2016-08-31 18:59:29.485","158","(R#004->R#004)","R#158"
"2016-08-31 18:59:30.494","159","(R#004->R#004),(R#005->R#005)","R#159,R#160"
"2016-08-31 18:59:31.483","161","(R#004->R#004)","R#161"
"2016-08-31 18:59:32.489","162","(R#005->R#005),(R#004->R#004)","R#162,R#163"
"2016-08-31 18:59:33.511","164","(R#005->R#005),(R#004->R#004)","R#164,R#165"
"2016-08-31 18:59:34.492","166","(R#004->R#004),(R#005->R#005)","R#166,R#167"
"2016-08-31 18:59:35.483","168","(R#004->R#004)","R#168"
"2016-08-31 18:59:36.496","169","(R#005->R#005),(R#004->R#004)","R#169,R#170"
"2016-08-31 18:59:37.476","171","",""
