"F#TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009"
"2016-08-29 05:12:08.368","16","2","41","8","8","14","17","45","1","5"
"2016-08-29 05:12:09.323","39","10","3","2","21","17","6","4","12","4"
"2016-08-29 05:12:10.346","41","9","20","9","14","31","40","15","6","14"
"2016-08-29 05:12:11.337","2","14","4","3","27","7","22","11","2","1"
"2016-08-29 05:12:12.330","29","12","9","20","8","25","3","27","33","35"
"2016-08-29 05:12:13.341","4","10","45","3","0","2","6","10","47","9"
"2016-08-29 05:12:14.379","2","20","40","32","4","33","65","30","106","46"
"2016-08-29 05:12:15.324","7","2","37","0","1","6","21","2","0","37"
"2016-08-29 05:12:16.326","2","0","26","34","7","21","18","16","9","11"
"2016-08-29 05:12:17.333","10","12","0","14","4","44","14","1","16","21"
"2016-08-29 05:12:18.326","18","11","0","15","19","6","13","4","12","12"
"2016-08-29 05:12:19.331","7","13","21","21","18","37","10","8","38","10"
"2016-08-29 05:12:20.377","15","27","12","19","0","24","13","16","38","7"
"2016-08-29 05:12:21.369","13","22","40","67","20","34","17","14","18","80"
"2016-08-29 05:12:22.324","13","16","10","6","12","11","2","16","32","6"
"2016-08-29 05:12:23.303","0","0","0","0","0","0","0","0","0","0"
