"F#TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009","Total"
"2016-08-29 05:12:05.342","9","5","17","34","27","9","28","12","31","9",""
"2016-08-29 05:12:06.324","14","5","19","1","6","2","1","7","2","20",""
"2016-08-29 05:12:07.326","0","10","21","9","5","9","15","4","11","10",""
"2016-08-29 05:12:08.368","10","1","15","6","5","14","14","20","0","0",""
"2016-08-29 05:12:09.323","2","6","3","1","18","16","3","2","8","2",""
"2016-08-29 05:12:10.346","14","6","27","6","26","0","29","9","11","9",""
"2016-08-29 05:12:11.337","2","10","4","1","5","5","1","8","2","0",""
"2016-08-29 05:12:12.329","16","2","6","8","7","10","5","11","22","23",""
"2016-08-29 05:12:13.341","2","3","31","2","0","1","4","9","26","0",""
"2016-08-29 05:12:14.379","0","13","23","21","3","23","0","21","24","31",""
"2016-08-29 05:12:15.323","6","4","39","0","1","6","16","5","1","69",""
"2016-08-29 05:12:16.325","4","2","11","21","7","10","24","14","12","15",""
"2016-08-29 05:12:17.332","15","3","0","9","1","1","7","3","13","28",""
"2016-08-29 05:12:18.326","14","8","0","10","10","4","8","1","9","10",""
"2016-08-29 05:12:19.330","10","6","27","23","24","16","12","5","29","1",""
"2016-08-29 05:12:20.377","11","2","7","10","1","10","10","4","24","1",""
"2016-08-29 05:12:21.369","7","14","22","46","6","22","8","8","9","63",""
"2016-08-29 05:12:22.324","15","18","12","7","16","10","2","16","15","7",""
"2016-08-29 05:12:23.303","37","9","7","131","19","37","9","76","37","34",""
