"F#TIME","AGENT_NUM","STATE","CLONE_ID","DELETE_ID"
"2016-06-06 21:41:44.860","10","","",""
"2016-06-06 21:41:45.832","10","","",""
"2016-06-06 21:41:46.831","10","","",""
"2016-06-06 21:41:47.831","10","","",""
"2016-06-06 21:41:48.831","10","","",""
"2016-06-06 21:41:49.831","10","","",""
"2016-06-06 21:41:50.831","11","cloning","R#0004",""
"2016-06-06 21:41:51.831","11","","",""
"2016-06-06 21:41:52.831","11","","",""
"2016-06-06 21:41:53.831","11","","",""
"2016-06-06 21:41:54.831","11","","",""
"2016-06-06 21:41:55.831","10","delete","","R#0010"
"2016-06-06 21:41:56.832","10","","",""
"2016-06-06 21:41:57.831","10","","",""
"2016-06-06 21:41:58.831","12","cloning,cloning","R#0005,R#0004",""
"2016-06-06 21:41:59.831","13","cloning","R#0010",""
"2016-06-06 21:42:00.832","13","","",""
"2016-06-06 21:42:01.831","13","","",""
"2016-06-06 21:42:02.832","13","","",""
"2016-06-06 21:42:03.832","13","","",""
"2016-06-06 21:42:04.831","13","","",""
"2016-06-06 21:42:05.831","13","","",""
"2016-06-06 21:42:06.831","13","","",""
"2016-06-06 21:42:07.831","14","cloning","R#0011",""
"2016-06-06 21:42:08.831","14","","",""
"2016-06-06 21:42:09.831","14","","",""
"2016-06-06 21:42:10.831","14","","",""
"2016-06-06 21:42:11.831","14","","",""
"2016-06-06 21:42:12.831","14","","",""
"2016-06-06 21:42:13.831","13","delete","","R#0012"
"2016-06-06 21:42:14.831","13","","",""
"2016-06-06 21:42:15.831","12","delete","","R#0013"
"2016-06-06 21:42:16.831","12","","",""
"2016-06-06 21:42:17.831","12","","",""
"2016-06-06 21:42:18.831","12","","",""
"2016-06-06 21:42:19.831","13","cloning","R#0003",""
"2016-06-06 21:42:20.831","13","","",""
"2016-06-06 21:42:21.831","13","","",""
"2016-06-06 21:42:22.831","13","","",""
"2016-06-06 21:42:23.831","13","cloning,delete","R#0011","R#0012"
"2016-06-06 21:42:24.831","13","","",""
"2016-06-06 21:42:25.831","14","cloning","R#0010",""
"2016-06-06 21:42:26.831","15","cloning","R#0005",""
"2016-06-06 21:42:27.831","16","cloning","R#0003",""
"2016-06-06 21:42:28.832","17","cloning","R#0004",""
"2016-06-06 21:42:29.831","17","","",""
"2016-06-06 21:42:30.831","12","delete,delete,delete,delete,delete","","R#0011,R#0013,R#0015,R#0012,R#0010"
"2016-06-06 21:42:31.831","12","","",""
"2016-06-06 21:42:32.831","12","","",""
"2016-06-06 21:42:33.831","12","","",""
"2016-06-06 21:42:34.831","12","","",""
"2016-06-06 21:42:35.831","12","","",""
"2016-06-06 21:42:36.831","13","cloning","R#0016",""
"2016-06-06 21:42:37.831","14","cloning","R#0014",""
"2016-06-06 21:42:38.831","14","","",""
"2016-06-06 21:42:39.831","14","","",""
"2016-06-06 21:42:40.831","14","","",""
"2016-06-06 21:42:41.831","14","","",""
"2016-06-06 21:42:42.831","13","delete","","R#0013"
"2016-06-06 21:42:43.831","12","delete","","R#0011"
"2016-06-06 21:42:44.831","12","","",""
"2016-06-06 21:42:45.831","12","","",""
"2016-06-06 21:42:46.831","14","cloning,cloning","R#0003,R#0016",""
"2016-06-06 21:42:47.831","14","","",""
"2016-06-06 21:42:48.831","14","","",""
"2016-06-06 21:42:49.831","14","","",""
"2016-06-06 21:42:50.831","14","","",""
"2016-06-06 21:42:51.831","14","","",""
"2016-06-06 21:42:52.831","12","delete,delete","","R#0015,R#0012"
"2016-06-06 21:42:53.832","12","","",""
"2016-06-06 21:42:54.831","12","","",""
"2016-06-06 21:42:55.831","12","","",""
"2016-06-06 21:42:56.831","12","","",""
"2016-06-06 21:42:57.831","12","","",""
"2016-06-06 21:42:58.831","12","","",""
"2016-06-06 21:42:59.831","12","","",""
"2016-06-06 21:43:00.831","13","cloning","R#0014",""
"2016-06-06 21:43:01.831","13","","",""
"2016-06-06 21:43:02.831","13","","",""
"2016-06-06 21:43:03.832","13","","",""
"2016-06-06 21:43:04.831","13","","",""
"2016-06-06 21:43:05.831","13","","",""
"2016-06-06 21:43:06.831","13","","",""
"2016-06-06 21:43:07.832","13","","",""
"2016-06-06 21:43:08.831","13","","",""
"2016-06-06 21:43:09.831","13","","",""
"2016-06-06 21:43:10.831","12","delete","","R#0010"
"2016-06-06 21:43:11.831","13","cloning","R#0016",""
"2016-06-06 21:43:12.832","13","","",""
"2016-06-06 21:43:13.831","13","","",""
"2016-06-06 21:43:14.831","13","","",""
"2016-06-06 21:43:15.831","13","","",""
"2016-06-06 21:43:16.831","13","","",""
"2016-06-06 21:43:17.831","13","","",""
"2016-06-06 21:43:18.831","13","","",""
"2016-06-06 21:43:19.831","13","","",""
"2016-06-06 21:43:20.831","13","","",""
"2016-06-06 21:43:21.831","13","","",""
"2016-06-06 21:43:22.831","13","","",""
"2016-06-06 21:43:23.831","13","","",""
"2016-06-06 21:43:24.834","13","","",""
