05:57:16 procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
05:57:16  r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
05:58:27  1  0      0   2636    232   1157    0    0     0     0 1022 1494  4  1 95  0  0
05:58:28  1  0      0   2636    232   1157    0    0     0     0  995 1344  3  1 96  0  0
05:58:29  1  0      0   2636    232   1157    0    0     0     0 1020 1299  3  2 96  0  0
05:58:30  1  0      0   2636    232   1157    0    0     0     0 1001 1393  3  1 96  0  0
05:58:31  1  0      0   2636    232   1157    0    0     0    72 1025 1415  4  2 94  0  0
05:58:32  2  0      0   2636    232   1157    0    0     0     0 1002 1435  4  2 94  0  0
05:58:33  1  0      0   2636    232   1157    0    0     0     0 1020 1408  2  1 97  0  0
05:58:34  1  0      0   2636    232   1157    0    0     0     0 1002 1258  4  2 95  0  0
05:58:35  2  0      0   2636    232   1157    0    0     0     0 1023 1287  4  1 96  0  0
05:58:36  1  0      0   2636    232   1157    0    0     0    72 1007 1493  3  1 96  0  0
05:58:37  1  0      0   2636    232   1157    0    0     0     0 1021 1427  4  2 94  0  0
05:58:38  1  0      0   2636    232   1157    0    0     0     0 1002 1363  2  1 98  0  0
05:58:39  1  0      0   2636    232   1157    0    0     0     0 1020 1351  3  1 96  0  0
05:58:40  1  0      0   2636    232   1157    0    0     0    16 1018 1450  3  1 96  0  0
05:58:41  1  0      0   2636    232   1157    0    0     0    96 1025 1583  2  2 96  0  0
05:58:42  1  0      0   2636    232   1157    0    0     0     0 1001 1376  2  1 97  0  0
05:58:43  1  0      0   2636    232   1157    0    0     0     0 1021 1331  2  1 97  0  0
05:58:44  1  0      0   2636    232   1157    0    0     0     0 1004 1337  2  2 96  0  0
05:58:45  1  0      0   2636    232   1157    0    0     0     0 1024 1386  3  2 96  0  0
05:58:46  1  0      0   2636    232   1157    0    0     0    72 1006 1460  4  2 94  0  0
05:58:47  2  0      0   2635    232   1159    0    0     0     0 1019 1581  5  2 93  0  0
05:58:48  0  0      0   2636    232   1157    0    0     0     0 1003 1335  3  1 96  0  0
05:58:49  0  0      0   2636    232   1157    0    0     0     0 1021 1260  3  1 96  0  0
05:58:50  0  0      0   2636    232   1157    0    0     0     0 1003 1402  3  2 95  0  0
05:58:51  0  0      0   2636    232   1157    0    0     0    80 1025 1493  3  2 96  0  0
05:58:52  5  0      0   2633    232   1161    0    0     0     0 1003 1426  6  1 93  0  0
05:58:53  4  0      0   2636    232   1157    0    0     0     0 1023 1358  3  1 96  0  0
05:58:54  2  0      0   2634    232   1160    0    0     0     0 1001 1356  5  2 93  0  0
05:58:55  1  0      0   2635    232   1159    0    0     0     0 1034 1309  6  1 94  0  0
05:58:56  7  0      0   2635    232   1158    0    0     0    96 1008 1480  3  1 96  0  0
05:58:57  0  0      0   2635    232   1158    0    0     0     0 1022 1489  3  1 96  0  0
05:58:58  0  0      0   2635    232   1158    0    0     0     0 1003 1338  5  1 94  0  0
05:58:59  0  0      0   2635    232   1158    0    0     0     0 1021 1366  4  2 94  0  0
05:59:00  2  0      0   2635    232   1158    0    0     0     8 1005 1454  3  1 96  0  0
05:59:01  1  0      0   2635    232   1158    0    0     0    72 1024 1543  2  1 97  0  0
05:59:02  1  0      0   2635    232   1158    0    0     0     0 1004 1461  2  1 97  0  0
05:59:03  1  0      0   2635    232   1158    0    0     0     0 1023 1444  3  1 96  0  0
05:59:04  1  0      0   2635    232   1158    0    0     0     0 1000 1307  3  1 96  0  0
05:59:05  2  0      0   2635    232   1158    0    0     0     0 1022 1337  4  1 95  0  0
05:59:06  1  0      0   2635    232   1158    0    0     0    56 1006 1517  5  1 94  0  0
05:59:07  1  0      0   2635    232   1158    0    0     0     0 1021 1483  2  1 97  0  0
05:59:08  1  0      0   2635    232   1158    0    0     0     0 1001 1443  3  1 96  0  0
05:59:09  3  0      0   2635    232   1158    0    0     0     0 1017 1393  2  1 97  0  0
05:59:10  1  0      0   2635    232   1158    0    0     0     0 1015 1367  3  2 96  0  0
05:59:11  1  0      0   2635    232   1158    0    0     0    96 1026 1593  4  2 94  1  0
05:59:12  1  0      0   2635    232   1158    0    0     0     0 1004 1469  4  1 95  0  0
05:59:13  5  0      0   2635    232   1158    0    0     0     0 1021 1445  2  1 97  0  0
05:59:14  1  0      0   2635    232   1158    0    0     0     0 1002 1409  2  1 97  0  0
05:59:15  1  0      0   2635    232   1158    0    0     0    36 1030 1436  3  1 96  0  0
05:59:16  1  0      0   2635    232   1158    0    0     0    68 1005 1503  3  1 96  0  0
05:59:17  1  0      0   2635    232   1158    0    0     0     0 1015 1557  3  1 96  0  0
05:59:18  2  0      0   2635    232   1158    0    0     0     0 1003 1442  3  1 96  0  0
05:59:19  2  0      0   2635    232   1158    0    0     0     0 1020 1413  3  2 95  0  0
05:59:20  0  0      0   2635    232   1158    0    0     0     0 1003 1697  2  1 97  0  0
05:59:21  1  0      0   2635    232   1158    0    0     0    80 1027 1569  2  1 97  0  0
05:59:22  1  0      0   2635    232   1158    0    0     0     0 1002 1457  3  1 96  0  0
05:59:23  1  0      0   2635    232   1158    0    0     0     0 1020 1375  4  2 95  0  0
05:59:24  1  0      0   2635    232   1158    0    0     0     0 1003 1360  5  2 93  0  0
05:59:25  3  0      0   2635    232   1158    0    0     0     0 1036 1385  4  1 95  0  0
05:59:26  2  0      0   2635    232   1158    0    0     0    96 1004 1578  5  1 93  1  0
05:59:27  1  0      0   2635    232   1158    0    0     0     0 1023 1685  4  2 95  0  0
05:59:28  1  0      0   2635    232   1158    0    0     0     0 1002 1619  4  1 95  0  0
05:59:29  1  0      0   2635    232   1158    0    0     0     0 1024 1545  3  2 95  0  0
05:59:30  1  0      0   2635    232   1158    0    0     0     0 1004 1461  4  2 94  0  0
05:59:31  2  0      0   2635    232   1158    0    0     0    76 1025 1624  2  1 97  0  0
05:59:32  0  0      0   2635    232   1158    0    0     0     0 1002 1632  2  1 97  0  0
05:59:33  0  0      0   2635    232   1158    0    0     0     0 1022 1628  3  1 96  0  0
05:59:34  1  0      0   2635    232   1158    0    0     0     0 1003 1448  2  1 97  0  0
05:59:35  0  0      0   2635    232   1158    0    0     0    12 1022 1559  2  1 97  0  0
05:59:36  0  0      0   2635    232   1158    0    0     0    68 1005 1695  4  1 95  0  0
05:59:37  0  0      0   2635    232   1158    0    0     0     0 1022 1591  3  2 95  0  0
05:59:38  1  0      0   2635    232   1158    0    0     0     0 1004 1344  3  2 96  0  0
05:59:39  2  0      0   2635    232   1158    0    0     0     0 1022 1485  3  1 96  0  0
05:59:40  1  0      0   2635    232   1158    0    0     0     0 1012 1412  3  1 96  0  0
05:59:41  1  0      0   2635    232   1158    0    0     0    92 1028 1642  3  1 96  0  0
05:59:42 13  0      0   2635    232   1158    0    0     0     0 1003 1492  3  1 96  0  0
05:59:43  1  0      0   2635    232   1158    0    0     0     0 1020 1428  2  1 97  0  0
05:59:44  1  0      0   2635    232   1158    0    0     0     0 1002 1349  3  2 95  0  0
05:59:45  1  0      0   2635    232   1158    0    0     0     0 1021 1411  3  1 96  0  0
05:59:46  1  0      0   2635    232   1158    0    0     0    72 1008 1539  2  1 96  1  0
05:59:47  1  0      0   2635    232   1158    0    0     0     0 1019 1701  2  1 97  0  0
05:59:48  0  0      0   2635    232   1158    0    0     0     0 1002 1527  3  2 96  0  0
05:59:49  1  0      0   2635    232   1158    0    0     0     0 1022 1358  3  1 96  0  0
05:59:50  1  0      0   2635    232   1158    0    0     0    36 1008 1435  4  1 95  0  0
05:59:51  1  0      0   2635    232   1158    0    0     0    80 1025 1676  5  2 93  0  0
05:59:52  1  0      0   2635    232   1158    0    0     0     0 1002 1508  4  1 95  0  0
05:59:53  1  0      0   2635    232   1158    0    0     0     0 1022 1465  4  2 95  0  0
05:59:54  1  0      0   2635    232   1158    0    0     0     0 1002 1427  3  1 96  0  0
05:59:55  1  0      0   2635    232   1158    0    0     0     0 1021 1326  3  1 96  0  0
05:59:56  1  0      0   2635    232   1158    0    0     0    96 1021 1569  4  2 94  0  0
05:59:57  1  0      0   2635    232   1158    0    0     0     0 1024 1634  3  2 95  0  0
05:59:58  1  0      0   2635    232   1158    0    0     0     0 1003 1436  5  1 94  0  0
05:59:59  1  0      0   2635    232   1158    0    0     0     0 1020 1361  5  2 93  0  0
06:00:00  1  0      0   2635    232   1158    0    0     0     0 1003 1537  3  1 96  0  0
06:00:01  1  0      0   2635    232   1158    0    0     0    72 1019 1556  3  2 96  0  0
06:00:02  2  0      0   2635    232   1158    0    0     0     0 1002 1494  3  1 96  0  0
06:00:03  1  0      0   2635    232   1158    0    0     0     0 1022 1455  3  2 96  0  0
06:00:04  1  0      0   2635    232   1158    0    0     0     0 1003 1389  4  1 95  0  0
06:00:05  1  0      0   2635    232   1158    0    0     0     0 1022 1456  5  2 94  0  0
06:00:06  1  0      0   2635    232   1158    0    0     0    72 1008 1569  3  2 96  1  0
06:00:07  1  0      0   2635    232   1158    0    0     0     0 1021 1501  4  1 95  0  0
06:00:08  1  0      0   2635    232   1158    0    0     0     0 1003 1447  3  1 96  0  0
06:00:09  2  0      0   2634    232   1158    0    0     0     0 1022 1449  3  2 96  0  0
06:00:10  2  0      0   2634    232   1158    0    0     0     8 1003 1520  3  1 96  0  0
06:00:11  2  0      0   2634    232   1158    0    0     0    96 1038 1674  2  1 97  0  0
06:00:12  2  0      0   2634    232   1158    0    0     0     0 1001 1496  3  1 97  0  0
06:00:13  3  0      0   2634    232   1159    0    0     0     0 1021 1486  3  1 96  0  0
06:00:14  3  0      0   2634    232   1159    0    0     0     0 1002 1428  2  1 97  0  0
06:00:15  0  0      0   2635    232   1159    0    0     0     0 1023 1478  2  2 97  0  0
06:00:16  2  0      0   2635    232   1159    0    0     0    52 1006 1534  2  1 97  0  0
06:00:17  2  0      0   2634    232   1159    0    0     0     0 1016 1587  2  1 97  0  0
06:00:18  1  0      0   2634    232   1159    0    0     0     0 1002 1450  3  2 96  0  0
06:00:19  2  0      0   2635    232   1159    0    0     0     0 1021 1440  4  1 95  0  0
06:00:20 12  0      0   2634    232   1159    0    0     0     0 1004 1775  4  2 95  0  0
06:00:21  2  0      0   2635    232   1159    0    0     0    84 1027 1763  4  1 95  0  0
06:00:22  2  0      0   2634    232   1159    0    0     0     0 1002 1461  4  2 95  0  0
06:00:23  1  0      0   2634    232   1159    0    0     0     0 1024 1494  4  1 95  0  0
06:00:24  1  0      0   2634    232   1159    0    0     0     0 1004 1442  5  2 93  0  0
06:00:25  1  0      0   2634    232   1159    0    0     0    32 1026 1484  6  2 93  0  0
06:00:27  0  0      0   2634    232   1159    0    0     0    96 1018 1642  2  1 97  0  0
06:00:28  1  0      0   2634    232   1159    0    0     0     0 1023 1539  3  1 96  0  0
06:00:29  2  0      0   2634    232   1159    0    0     0     0 1002 1488  3  2 96  0  0
06:00:30  2  0      0   2634    232   1159    0    0     0     0 1020 1464  4  1 95  0  0
06:00:31  1  0      0   2634    232   1159    0    0     0     0 1003 1540  5  2 93  0  0
