2016-08-12 06:41:44.000 procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
2016-08-12 06:41:44.000  r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
2016-08-12 06:41:44.000  4  0      0   8567    943   2439    0    0     0     1    0    1  1  0 99  0  0
2016-08-12 06:41:45.000  1  0      0   8485    943   2523    0    0     0  3056 1251 29415 27  6 67  0  0
2016-08-12 06:41:46.000  2  0      0   8447    943   2559    0    0     0     0 1156 27007 25  5 71  0  0
2016-08-12 06:41:47.000  3  0      0   8398    943   2610    0    0     0     0 1234 34186 31  6 63  0  0
2016-08-12 06:41:48.000  0  0      0   8383    943   2623    0    0     0     0 1270 26594 23  5 73  0  0
2016-08-12 06:41:49.000 16  0      0   8293    943   2716    0    0     0     0 1136 41696 47  7 46  0  0
2016-08-12 06:41:50.000  7  0      0   8123    943   2884    0    0     0   140 1187 67887 71 15 14  0  0
2016-08-12 06:41:51.000 10  0      0   7774    943   3233    0    0     0     0 1186 91003 56 23 21  0  0
2016-08-12 06:41:52.000  6  0      0   7537    943   3469    0    0     0     0 1168 84573 49 22 29  0  0
2016-08-12 06:41:53.000  6  0      0   7382    943   3624    0    0     0     0 1171 73177 41 20 39  0  0
2016-08-12 06:41:54.000  7  0      0   7378    943   3627    0    0     0     0 1147 67098 49 17 34  0  0
2016-08-12 06:41:55.000  4  0      0   7377    943   3628    0    0     0    76 1178 79037 39 19 43  0  0
2016-08-12 06:41:56.000  4  0      0   7365    943   3641    0    0     0     0 1159 62149 41 17 42  0  0
2016-08-12 06:41:57.000  8  0      0   7338    943   3668    0    0     0     0 1185 80857 46 20 33  0  0
2016-08-12 06:41:58.000  6  0      0   7371    943   3635    0    0     0     0 1185 70337 44 17 40  0  0
2016-08-12 06:41:59.000  8  0      0   7317    943   3689    0    0     0     0 1196 74003 39 18 43  0  0
2016-08-12 06:42:00.000  3  0      0   7316    943   3690    0    0     0   672 1250 75358 33 20 47  0  0
2016-08-12 06:42:01.000 14  0      0   7280    943   3726    0    0     0     0 1197 58467 53 17 30  0  0
2016-08-12 06:42:02.000  9  0      0   7223    943   3783    0    0     0     0 1190 62487 66 15 19  0  0
2016-08-12 06:42:03.000  5  0      0   7314    943   3691    0    0     0     0 1172 74299 38 17 45  0  0
2016-08-12 06:42:04.000  6  0      0   7314    943   3691    0    0     0     0 1137 72852 33 21 46  0  0
2016-08-12 06:42:05.000  4  0      0   7313    943   3691    0    0     0    80 1215 84528 34 21 45  0  0
2016-08-12 06:42:06.000 10  0      0   7311    943   3693    0    0     0     0 1138 80338 36 18 46  0  0
2016-08-12 06:42:07.000  9  0      0   7310    943   3695    0    0     0     0 1220 72710 32 16 52  0  0
2016-08-12 06:42:08.000  5  0      0   7287    943   3718    0    0     0     0 1140 80090 40 20 40  0  0
2016-08-12 06:42:09.000  6  0      0   7258    943   3746    0    0     0     0 1276 68815 39 16 45  0  0
2016-08-12 06:42:10.000 10  0      0   7212    943   3793    0    0     0    72 1178 73146 49 16 35  0  0
2016-08-12 06:42:11.000  4  0      0   7211    943   3795    0    0     0     0 1240 72218 42 17 42  0  0
2016-08-12 06:42:12.000  8  0      0   7299    943   3706    0    0     0     0 1138 73535 45 18 37  0  0
2016-08-12 06:42:13.000  8  0      0   7299    943   3705    0    0     0     0 1232 71066 32 17 52  0  0
2016-08-12 06:42:14.000  6  0      0   7295    943   3710    0    0     0     0 1156 80901 38 21 41  0  0
2016-08-12 06:42:15.000  4  0      0   7294    943   3710    0    0     0   120 1260 80055 33 19 48  0  0
2016-08-12 06:42:16.000  4  0      0   7293    943   3711    0    0     0     0 1130 76076 32 19 49  0  0
2016-08-12 06:42:17.000  9  0      0   7265    943   3739    0    0     0     0 1247 85179 37 22 41  0  0
2016-08-12 06:42:18.000  3  0      0   7277    943   3727    0    0     0     0 1123 67482 42 17 42  0  0
2016-08-12 06:42:19.000  6  0      0   7265    943   3739    0    0     0     0 1253 76708 40 19 41  0  0
2016-08-12 06:42:20.000  6  0      0   7209    943   3795    0    0     0   152 1124 71421 41 16 43  0  0
2016-08-12 06:42:21.000  8  0      0   7198    943   3807    0    0     0     0 1223 71711 44 16 40  0  0
2016-08-12 06:42:22.000  4  0      0   7151    943   3854    0    0     0     0 1144 76539 47 18 35  0  0
2016-08-12 06:42:23.000  6  0      0   7146    943   3859    0    0     0     0 1251 66473 43 14 43  0  0
2016-08-12 06:42:24.000  9  0      0   7113    943   3891    0    0     0     0 1125 73903 45 17 38  0  0
2016-08-12 06:42:25.000  5  0      0   7096    943   3908    0    0     0   100 1229 75379 42 17 41  0  0
2016-08-12 06:42:26.000  7  0      0   7256    943   3748    0    0     0     0 1154 80407 46 19 35  0  0
2016-08-12 06:42:27.000  5  0      0   7242    943   3762    0    0     0     0 1218 68735 41 16 43  0  0
2016-08-12 06:42:28.000  9  0      0   7205    943   3800    0    0     0     0 1181 81129 49 20 31  0  0
2016-08-12 06:42:29.000  5  0      0   7183    943   3821    0    0     0     0 1275 72800 45 15 39  0  0
2016-08-12 06:42:30.000 14  0      0   7180    943   3824    0    0     0    72 1155 73630 44 17 39  0  0
2016-08-12 06:42:31.000 10  0      0   7070    943   3936    0    0     0     0 1227 72234 41 17 42  0  0
2016-08-12 06:42:32.000  4  0      0   7089    943   3915    0    0     0     0 1148 75697 48 17 35  0  0
2016-08-12 06:42:33.000  9  0      0   7012    943   3993    0    0     0     0 1259 68261 49 17 33  0  0
2016-08-12 06:42:34.000  9  0      0   7052    943   3952    0    0     0     0 1175 72360 52 17 31  0  0
2016-08-12 06:42:35.000  8  0      0   7081    943   3923    0    0     0   116 1266 78271 45 16 38  0  0
2016-08-12 06:42:36.000  6  0      0   7076    943   3927    0    0     0     0 1153 70109 43 15 41  0  0
2016-08-12 06:42:37.000  3  0      0   7257    943   3746    0    0     0     0 1262 79428 42 17 41  0  0
2016-08-12 06:42:38.000  6  0      0   7252    943   3751    0    0     0     0 1115 73530 36 18 46  0  0
2016-08-12 06:42:39.000  8  0      0   7252    943   3751    0    0     0     0 1270 87104 37 21 43  0  0
2016-08-12 06:42:40.000  5  0      0   7252    943   3751    0    0     0   108 1117 76419 31 19 51  0  0
2016-08-12 06:42:41.000  8  0      0   7252    943   3751    0    0     0     0 1288 88484 36 22 42  0  0
2016-08-12 06:42:42.000  6  0      0   7252    943   3751    0    0     0     0 1129 76498 34 19 47  0  0
2016-08-12 06:42:43.000  3  0      0   7252    943   3751    0    0     0     0 1264 88683 34 21 45  0  0
2016-08-12 06:42:44.000  6  0      0   7252    943   3751    0    0     0     0 1106 80254 32 18 50  0  0
2016-08-12 06:42:45.000  6  0      0   7148    943   3858    0    0     0    92 1243 74871 39 18 43  0  0
2016-08-12 06:42:46.000 12  0      0   7253    943   3752    0    0     0     0 1112 87015 36 21 43  0  0
2016-08-12 06:42:47.000  3  0      0   7253    943   3752    0    0     0     0 1269 79505 32 18 50  0  0
2016-08-12 06:42:48.000 10  0      0   7253    943   3752    0    0     0     0 1123 81195 36 18 46  0  0
2016-08-12 06:42:49.000  3  0      0   7252    943   3752    0    0     0     0 1248 79980 32 19 49  0  0
2016-08-12 06:42:50.000  6  0      0   7252    943   3752    0    0     0   188 1138 82926 33 20 46  0  0
2016-08-12 06:42:51.000  8  0      0   7252    943   3752    0    0     0     0 1252 84008 35 19 46  0  0
2016-08-12 06:42:52.000  7  0      0   7251    943   3752    0    0     0     0 1154 83290 32 19 48  0  0
2016-08-12 06:42:53.000  8  0      0   7251    943   3752    0    0     0     0 1228 85774 34 21 45  0  0
2016-08-12 06:42:54.000  4  0      0   7251    943   3753    0    0     0     0 1183 81575 37 20 43  0  0
2016-08-12 06:42:55.000  6  0      0   7251    943   3753    0    0     0    92 1243 80531 31 18 51  0  0
2016-08-12 06:42:56.000  4  0      0   7251    943   3753    0    0     0     0 1146 81115 34 19 47  0  0
2016-08-12 06:42:57.000 12  0      0   7251    943   3752    0    0     0     0 1237 81991 37 18 45  0  0
2016-08-12 06:42:58.000  7  0      0   7251    943   3752    0    0     0     0 1199 88864 37 21 42  0  0
2016-08-12 06:42:59.000 14  0      0   7251    943   3752    0    0     0     0 1267 81992 42 17 41  0  0
2016-08-12 06:43:00.000  5  0      0   7251    943   3751    0    0     0    84 1138 74066 38 18 45  0  0
2016-08-12 06:43:01.000  5  0      0   7251    943   3752    0    0     0     0 1265 82076 34 20 46  0  0
2016-08-12 06:43:02.000  4  0      0   7251    943   3752    0    0     0     0 1146 82382 36 20 44  0  0
2016-08-12 06:43:03.000  7  0      0   7251    943   3752    0    0     0     0 1240 88868 34 21 44  0  0
2016-08-12 06:43:04.000 10  0      0   7251    943   3752    0    0     0     0 1180 88878 37 21 41  0  0
2016-08-12 06:43:05.000 16  0      0   7251    943   3752    0    0     0   112 1275 86938 37 19 44  0  0
2016-08-12 06:43:06.000 20  0      0   7251    943   3752    0    0     0     0 1181 83919 33 19 49  0  0
2016-08-12 06:43:07.000 15  0      0   7251    943   3753    0    0     0     0 1239 79025 28 18 54  0  0
2016-08-12 06:43:08.000  3  0      0   7251    943   3753    0    0     0     0 1174 85230 33 20 47  0  0
2016-08-12 06:43:09.000  9  0      0   7250    943   3753    0    0     0     0 1255 84319 36 19 46  0  0
2016-08-12 06:43:10.000 13  0      0   7250    943   3753    0    0     0   112 1163 87620 33 20 46  0  0
